Date          Time       OutputV        FluxMagnet       Temperature

23-3-2022     11:57:55      4662.76       248531.53         34.25
23-3-2022     11:57:55      5000.00       266516.69         34.25
23-3-2022     11:59:3      3460.41       184410.41         34.50
23-3-2022     11:59:4      3484.85       185713.67         34.50
23-3-2022     11:59:5      4995.11       266256.03         34.50
23-3-2022     11:59:6      3465.30       184671.06         34.50
23-3-2022     11:59:7      5000.00       266516.69         34.25
23-3-2022     11:59:8      3993.16       212821.80         34.50
23-3-2022     11:59:9      3660.80       195097.25         34.50
23-3-2022     11:59:10      3572.82       190405.47         34.50
23-3-2022     11:59:11      4872.92       259739.69         34.50
23-3-2022     11:59:12      3479.96       185453.03         34.50
23-3-2022     11:59:13      5000.00       266516.69         34.50
23-3-2022     11:59:14      3445.75       183628.44         34.50
23-3-2022     11:59:15      5000.00       266516.69         34.50
23-3-2022     11:59:16      3528.84       188059.56         34.50
23-3-2022     11:59:17      4931.57       262867.53         34.50
23-3-2022     11:59:18      3470.19       184931.72         34.50
23-3-2022     11:59:19      5000.00       266516.69         34.50
23-3-2022     11:59:21      3445.75       183628.44         34.50
23-3-2022     11:59:22      5000.00       266516.69         34.50
23-3-2022     11:59:23      3435.97       183107.13         34.50
23-3-2022     11:59:24      4828.93       257393.80         34.50
23-3-2022     11:59:25      3479.96       185453.03         34.50
23-3-2022     11:59:26      5000.00       266516.69         34.50
23-3-2022     11:59:27      3445.75       183628.44         34.50
23-3-2022     11:59:28      5000.00       266516.69         34.50
23-3-2022     11:59:29      3431.08       182846.47         34.50
23-3-2022     11:59:30      5000.00       266516.69         34.50
23-3-2022     12:0:47      5000.00       266516.69         34.50
23-3-2022     12:0:48      3470.19       184931.72         34.50
23-3-2022     12:0:49      5000.00       266516.69         34.50
23-3-2022     12:0:50      3445.75       183628.44         34.50
23-3-2022     12:0:51      4780.06       254787.23         34.50
23-3-2022     12:0:52      3406.65       181543.20         34.50
23-3-2022     12:0:53      3734.12       199007.08         34.50
23-3-2022     12:0:54      4809.38       256351.17         34.50
23-3-2022     12:0:55      3494.62       186234.98         34.50
23-3-2022     12:0:56      3611.93       192490.72         34.50
23-3-2022     12:0:57      3558.16       189623.52         34.50
23-3-2022     12:0:58      5000.00       266516.69         34.50
23-3-2022     12:0:59      3470.19       184931.72         34.50
23-3-2022     12:1:0      5000.00       266516.69         34.50
23-3-2022     12:1:1      3460.41       184410.41         34.50
23-3-2022     12:1:2      5000.00       266516.69         34.50
23-3-2022     12:1:3      3416.42       182064.52         34.50
23-3-2022     12:1:5      5000.00       266516.69         34.50
23-3-2022     12:1:6      3475.07       185192.36         34.50
23-3-2022     12:1:7      5000.00       266516.69         34.50
23-3-2022     12:1:8      3406.65       181543.20         34.50
23-3-2022     12:1:9      4437.93       236541.39         34.50
23-3-2022     12:1:10      3421.31       182325.16         34.50
23-3-2022     12:1:11      3739.00       199267.73         34.50
23-3-2022     12:1:12      4506.35       240190.58         34.50
23-3-2022     12:1:13      3475.07       185192.36         34.50
23-3-2022     12:1:14      5000.00       266516.69         34.50
23-3-2022     12:1:15      3475.07       185192.36         34.50
23-3-2022     12:1:16      5000.00       266516.69         34.50
23-3-2022     12:1:17      3494.62       186234.98         34.50
23-3-2022     12:1:18      5000.00       266516.69         34.50
23-3-2022     12:1:19      3411.53       181803.86         34.50
23-3-2022     12:1:20      5000.00       266516.69         34.50
23-3-2022     12:1:21      3489.74       185974.33         34.50
23-3-2022     12:1:22      5000.00       266516.69         34.50
23-3-2022     12:1:23      3421.31       182325.16         34.50
23-3-2022     12:1:24      4227.76       225333.25         34.50
23-3-2022     12:1:25      3641.25       194054.64         34.50
23-3-2022     12:1:26      3607.04       192230.05         34.50
23-3-2022     12:1:27      4956.01       264170.81         34.50
23-3-2022     12:1:28      4130.01       220120.13         34.50
23-3-2022     12:1:36      3778.10       201352.97         34.50
23-3-2022     12:1:36      5000.00       266516.69         34.50
23-3-2022     12:1:42      5000.00       266516.69         34.50
23-3-2022     12:1:48      4985.34       265734.75         34.50
23-3-2022     12:1:54      5000.00       266516.69         34.50
23-3-2022     12:2:1      3435.97       183107.13         34.50
23-3-2022     12:2:7      3509.29       187016.95         34.50
23-3-2022     12:2:13      5000.00       266516.69         34.50
23-3-2022     12:2:20      3817.20       203438.22         34.50
23-3-2022     12:2:26      5000.00       266516.69         34.50
23-3-2022     12:2:33      3572.82       190405.47         34.50
23-3-2022     12:2:39      3401.76       181282.55         34.50
23-3-2022     12:2:46      4672.53       249052.83         34.50
23-3-2022     12:2:53      3572.82       190405.47         34.50
23-3-2022     12:3:0      5000.00       266516.69         34.50
23-3-2022     12:3:7      3558.16       189623.52         34.50
23-3-2022     12:3:14      3504.40       186756.30         34.50
23-3-2022     12:3:21      5000.00       266516.69         34.50
23-3-2022     12:3:28      4877.81       260000.34         34.50
23-3-2022     12:3:35      5000.00       266516.69         34.50
23-3-2022     12:3:42      3822.09       203698.86         34.50
23-3-2022     12:3:50      5000.00       266516.69         34.50
23-3-2022     12:3:57      3587.49       191187.44         34.50
23-3-2022     12:4:5      3587.49       191187.44         34.25
23-3-2022     12:4:12      5000.00       266516.69         34.25
23-3-2022     12:4:20      3914.96       208651.31         34.25
23-3-2022     12:4:27      5000.00       266516.69         34.25
23-3-2022     12:4:35      4584.56       244361.03         34.25
23-3-2022     12:4:43      5000.00       266516.69         34.25
23-3-2022     12:4:51      3616.81       192751.36         34.25
23-3-2022     12:4:59      3611.93       192490.72         34.25
23-3-2022     12:5:7      5000.00       266516.69         34.25
23-3-2022     12:5:15      3763.44       200571.02         34.25
23-3-2022     12:5:23      5000.00       266516.69         34.25
23-3-2022     12:5:31      3729.23       198746.42         34.50
23-3-2022     12:5:39      5000.00       266516.69         34.50
23-3-2022     12:5:48      3587.49       191187.44         34.50
23-3-2022     12:5:56      3592.38       191448.09         34.75
23-3-2022     12:6:5      5000.00       266516.69         34.50
23-3-2022     12:6:13      4853.37       258697.08         34.50
23-3-2022     12:6:22      5000.00       266516.69         34.50
23-3-2022     12:6:31      3778.10       201352.97         34.50
23-3-2022     12:6:39      5000.00       266516.69         34.50
23-3-2022     12:6:48      3572.82       190405.47         34.50
23-3-2022     12:6:57      3611.93       192490.72         34.25
23-3-2022     12:7:6      3607.04       192230.05         34.50
23-3-2022     12:7:23      3939.39       209954.59         34.50
23-3-2022     12:7:24      4804.50       256090.52         34.50
23-3-2022     12:7:25      3807.43       202916.91         34.50
23-3-2022     12:7:26      3651.03       194575.95         34.50
23-3-2022     12:7:27      5000.00       266516.69         34.50
23-3-2022     12:7:28      3621.70       193012.02         34.50
23-3-2022     12:7:29      4794.72       255569.19         34.50
23-3-2022     12:7:30      3885.63       207087.39         34.50
23-3-2022     12:7:31      3646.14       194315.30         34.50
23-3-2022     12:7:32      5000.00       266516.69         34.50
23-3-2022     12:7:34      3621.70       193012.02         34.50
23-3-2022     12:7:35      4682.31       249574.16         34.50
23-3-2022     12:7:36      4139.79       220641.45         34.50
23-3-2022     12:7:37      3631.48       193533.33         34.50
23-3-2022     12:7:38      5000.00       266516.69         34.50
23-3-2022     12:7:39      3631.48       193533.33         34.75
23-3-2022     12:7:40      4398.83       234456.16         34.50
23-3-2022     12:7:41      4486.80       239147.95         34.75
23-3-2022     12:7:42      3626.59       193272.67         34.50
23-3-2022     12:7:43      5000.00       266516.69         34.50
23-3-2022     12:7:44      3631.48       193533.33         34.50
23-3-2022     12:7:45      4369.50       232892.22         34.50
23-3-2022     12:7:46      4462.37       237844.67         34.50
23-3-2022     12:7:23      4017.60       214125.06         34.50
23-3-2022     12:7:24      5000.00       266516.69         34.50
23-3-2022     12:7:25      3558.16       189623.52         34.50
23-3-2022     12:7:26      3670.58       195618.56         34.50
23-3-2022     12:7:27      5000.00       266516.69         34.50
23-3-2022     12:7:28      3626.59       193272.67         34.75
23-3-2022     12:7:29      4276.64       227939.77         34.50
23-3-2022     12:7:30      4887.59       260521.64         34.50
23-3-2022     12:7:31      3611.93       192490.72         34.50
